MAIN_ID,ra,dec,pmRA,pmDE,Vmag,Umag
V* S Vir,203.2504595642425,-07.1947329854870,-16.813,3.010,6.68,8.87
HD 166790,273.4055482424786,-31.9673249317703,0.747,-8.753,6.79,
HD  45016,096.0881102722725,-16.2245675624291,-16.063,-7.989,6.95,
* tet Oct,000.3987566021,-77.0657247878,-57.30,-177.06,4.783,
HD  42690,092.9658944170014,-06.5502858332262,-3.523,-0.323,5.040,4.07
HD 110716,191.2585619843259,-68.8307524486301,-6.961,-2.467,6.162,
* omi Sgr,286.1707573854,-21.7414957025,76.35,-58.12,3.77,5.63
*  61 Oph B,266.1477824973321,+02.5791338244425,6.138,15.269,6.540,6.570
* lam Hya,152.6470357548103,-12.3541274788236,-217.433,-74.373,3.61,5.53
* kap Cap,325.6646129154,-18.8663241286,145.85,-9.50,4.726,
* psi Leo,145.9329421843408,+14.0217063508848,5.81,-4.80,5.35,8.93
HD 203440,320.5071541458379,+04.3456094659184,23.584,-6.340,6.69,
HD 160928,266.1750329016566,-42.7293161145156,5.606,14.705,5.871,
HD   2924,008.1440195813444,+27.5807557650274,-2.982,-7.828,6.700,6.870
HD 104055,179.7639061600900,+00.5306812803784,-66.151,29.751,6.176,
*  78 UMa A,195.1820036770829,+56.3663501585528,138.448,0.820,5.02,
HD 224060,358.6982448192617,+18.7467925154612,27.228,0.339,6.91,
HD  35775,081.8141753743920,+02.3412029058056,7.312,-1.218,6.35,
HD 216174,342.4429779849382,+55.9027752372069,82.639,38.178,5.439,
* pi.01 Hyi,033.5605974651397,-67.8414383508456,26.01,45.05,5.559,
* ome CMa,108.7027244433,-26.7726693650,-11.88,6.87,3.82,2.90
C 0519+409,080.577,+41.025,-1.11,-2.58,4.2,
HD 130227,222.2793985574717,-56.6678283213640,-106.261,-119.848,6.21,8.39
HD  68512,122.7809404797505,-40.7582808570521,-14.674,28.390,6.65,
HD  85416,148.1255367302566,+35.5246231796942,-11.281,1.512,6.93,
HD 154569,257.0234181997472,-41.6147398610095,-18.457,-43.887,7.00,
* nu. Oct,325.3689251479717,-77.3900087616200,68.656,-250.044,3.728,
HD 148379,247.4263630929428,-46.2432311114710,-2.969,-4.039,5.37,5.51
HD 182071,291.2333075679125,-44.1947715452103,-45.116,-12.186,6.89,
HD  41692,091.6614035381242,-04.1938328003919,-6.964,-5.088,5.362,4.71
HD 189474,299.7151761281892,+35.4977571292044,27.959,8.564,6.998,
* tet Her,269.0632522675,+37.2505373197,2.67,6.47,3.88,6.70
HD 165358,270.7870600155665,+48.4642755781775,17.169,9.302,6.243,
* del Lib,225.2431074324694,-08.5189574770628,-60.564,-3.651,4.93,4.82
HD  21737,052.3960405546725,-23.4757229119319,74.508,36.103,6.88,
HD  79290,138.0911752561661,-28.9475853939702,-22.902,12.444,6.75,
HD    360,002.0730529001609,-08.8241124834109,-34.409,-34.673,5.980,
HD 172922,278.9782887285691,+72.3802592509068,23.504,18.387,6.79,
HD 112219,194.1320367612177,-72.1852114181920,-16.361,-13.155,5.928,
HD  24744,058.5965330009218,-40.3570063469916,-24.572,7.308,5.705,
HD 118962,205.3064257461338,-46.0283060186216,-37.159,-23.675,6.70,
HD 167965,273.9115717570252,+42.1593455393191,-2.618,0.815,5.556,4.98
HD 205422,323.6912978059869,+18.3289311459120,36.522,12.600,6.47,
HD 155711,257.6276342191584,+52.4087700907414,-14.331,-8.710,6.296,
HD  55523,108.0224621575968,-27.3349448161685,-9.305,4.343,6.91,6.12
*  11 Lib,222.7544697062,-02.2991524414,89.97,-124.57,4.94,6.64
HD 176707,284.7474868412114,+50.8091422302148,0.174,7.279,6.338,
HD 198124,312.0406082845934,+02.7154597060806,38.111,-22.607,6.94,
* ups01 Cas,013.7506478096331,+58.9726944654454,-31.068,-43.917,4.820,
HD 133768,225.8613726207847,+60.0255791701903,-15.406,-3.030,6.68,
HD  18537,045.2175497359629,+52.3517354079941,27.862,-25.290,5.219,4.78
HD 117246,202.3717415320427,-18.7291138551037,46.469,-22.792,6.88,
* tet CrB B,233.232356762,+31.358977519,-19.6,-6.2,6.29,
HD  37501,083.7393042062733,-61.1760488598837,-7.343,-26.808,6.311,
V* V397 Pup,117.3110397186071,-35.2432860695131,-5.331,8.641,5.936,
* phi02 Ori,084.2266174412,+09.2906693203,97.24,-305.57,4.09,5.70
HD 221736,353.7099366931340,-42.6842916006919,36.091,-4.416,6.65,
HD 176939,285.3954283064743,+25.0259398330117,-1.758,4.778,6.730,9.750
HD  76706,134.5762163111920,+18.3082747274786,-23.411,-21.377,6.552,
HD 164064,269.9031768287011,-04.8211249751012,-4.060,-88.773,5.832,
HD  51066,106.0627399329167,+75.4112757953459,-7.821,-4.989,7.00,
HD  61944,115.1093963412574,-30.0797150805627,-18.240,18.569,6.92,6.86
HD  28793,068.9313964219083,+59.4008185597273,0.128,-11.821,6.78,
HD 219301,348.8479465286816,-56.6918819512303,49.058,-30.866,6.56,
HD 180242,288.7612041821780,+20.2031184114640,2.604,-8.880,6.028,
HD  11365,027.9075011698754,-06.8741397984486,4.476,-7.927,6.41,
HD 117919,203.6206553609758,-48.2721612813175,-24.047,-8.330,6.319,
* zet02 Sco,253.6458514446,-42.3613168553,-127.72,-229.44,3.62,
HD 176775,285.1018719648625,+33.7418228412433,7.152,-4.386,6.78,
* eps Cas,028.5988590707424,+63.6701033935922,32.982,-19.232,3.37,2.61
HD  23301,056.4045368070529,+38.6762614400965,-31.426,17.347,6.443,
HD 194937,307.0314155974389,+08.4374481211443,40.528,16.907,6.229,
HD  85016,147.4444749863530,+31.0770150033457,55.067,-42.877,6.82,
V* NS Hya,136.7497472892998,+01.4626950315171,-10.745,-16.355,6.17,9.78
HD  87660,151.43863664,-30.89166422,-37.55,-15.21,6.641,
HD 181958,292.0268341305874,-69.6318497381044,-54.23,77.35,6.72,
HD  19887,047.8197060474247,-16.0249635542403,-25.033,-10.164,6.243,
HD  75168,131.4927399358027,-54.9603840861161,-15.617,9.875,6.98,
HD  15996,038.4175968959538,-20.0019201113066,-35.473,-79.667,6.189,
HD 159267,263.2886021295806,+16.7692823104030,11.924,-12.180,6.98,
*   1 Pup,115.8849448065222,-28.4108818279408,-13.73,30.01,4.59,8.16
HD  20319A,049.0035529918500,-05.9186998074800,9.730,-2.815,6.39,
HD 218407,346.8249962313762,+46.0681465093030,-0.642,-2.906,6.654,5.93
HD  88372,152.8240174550013,-07.3166220693927,11.382,-12.218,6.225,
* ksi Tel,301.8464970508204,-52.8807827557309,-16.042,9.039,4.94,8.40
*  52 Oph,263.8270818456472,-22.0438245578743,-0.602,-10.345,6.481,
HD 140504,236.71224525,-58.12524571,-25.24,-44.04,6.83,
* lam01 Tuc,013.1021658503118,-69.5037622284046,3.849,-67.462,6.22,
CD-43 12272B,271.7079771610938,-43.4247501680311,-0.877,-101.047,5.68,
HD 152124,251.8160557951984,+63.5315083181151,-67.444,66.211,6.79,
HD 141589,237.3915633398642,+12.5586922527514,1.457,19.232,6.70,
HD 181351,291.0528213749640,-62.9982220400392,-98.891,37.058,6.58,
* l Eri,069.5451004017046,-14.3040231848422,-80.036,-154.416,3.87,5.99
*  17 Vul,301.7225337349607,+23.6144242324069,14.896,0.441,5.056,
* e Leo,172.5787165069283,-03.0034920054098,20.901,-17.944,4.77,8.14
CCDM J13048+7301AB,196.20727219,+73.02497109,-18.33,7.72,6.410,6.690
HD  72626,128.27020189,-24.60695542,4.27,-25.85,6.267,
*  46 Psc,006.9936098140225,+19.5140374797532,-21.736,-17.611,6.380,8.160
HD  26068,061.8155640097613,-09.7578297509984,-9.126,-10.441,6.75,
HD  97037,167.5555976243477,-07.3894015499784,-238.512,-173.449,6.81,
HD 207636,326.7535420477402,+70.1508819001265,-10.544,-24.979,6.450,6.420
*  75 Tau,067.1098773305841,+16.3596741362511,8.881,18.685,4.969,
* tau01 Hyi A,025.339467,-79.148206,58.9,19.6,6.46,
HD 176174,284.3884442004963,+32.9895683471755,2.675,13.348,6.91,
HD  21019,050.8237527779769,-07.7940976807079,1.762,-219.535,6.23,
*   6 Cet,002.8160454159002,-15.4679835277425,-76.262,-268.283,4.89,5.35
HD    213,001.7220550247684,-38.8776688006695,-10.515,8.404,6.90,
HD 117267,202.3121495147690,-01.3644276787384,-42.868,-58.886,6.419,
HD 152040,253.1502335855213,-37.5994144237925,-2.47,-36.38,6.71,
HD 213884,338.9705479502946,-57.8837514300121,87.269,-9.406,6.224,
HD 107054,184.6317512014154,+30.2490472437563,76.059,-118.587,6.226,
* T Car,163.8217559734294,-60.5169999770635,-34.858,85.164,5.920,
HD  72173,127.7228921711111,-15.8346765439039,-13.037,0.722,6.74,
*  22 Vul,303.8759919199343,+23.5088980407797,3.378,-6.085,5.176,
*  56 Vir,198.6879747950559,-10.3703831765237,-23.691,-44.454,6.98,
HD 158220,262.8470142999348,-56.9209647212111,-0.470,-3.644,5.984,
HD 203535,320.3352776112337,+46.7298263701307,35.027,11.886,6.72,
HD 115381,199.1529467755432,+18.9032759106684,-59.655,6.108,6.72,
HD 206280,324.9748744884363,+44.4321394338848,8.291,-1.667,6.750,
* alf Ind,309.3918000321,-47.2915007225,49.24,66.53,3.11,4.90
V* FZ Vel,134.7181310714825,-47.2346815632316,-83.448,53.293,5.146,
HD  16769,041.2070674995623,+67.8246325235115,17.730,-32.315,5.945,
*  16 Vul B,300.506197179,+24.937912928,89.8,67.3,6.15,
*   2 Sgr,264.6869003255807,-21.9126511183146,-34.953,-14.697,6.20,
HD 120048,206.5794248219204,+38.5036234792586,-49.473,-13.609,5.919,
HD 136795A,230.220506879,+45.664868883,42.8,-25.6,6.75,
V* AK Lep,086.1105703819773,-22.4218373217800,-305.065,-352.628,6.15,
* iot Hyi,048.9902833039117,-77.3884547556087,113.165,62.542,5.506,
HD 169820,276.4801246850938,+14.9662397772250,-7.320,-20.515,6.364,
* f02 Cyg,316.6503908975,+47.6484025083,6.53,-1.41,4.514,
HD   2376,006.8422536009379,-28.2431588956267,-22.280,-4.071,7.00,
HD 112503,194.30650858,+08.29377983,-92.12,9.38,6.824,
HD 219418,348.8459972995714,+25.6722491618600,1.142,13.920,6.810,8.100
HD 130603,222.09726771,+24.36687442,-101.63,56.68,6.51,
HD  60753,113.3638293354424,-50.5842531738430,-3.124,5.310,6.680,6.02
HD  19066,046.3375429177194,+40.5821797600362,-24.726,-4.674,6.05,7.86
HD  15703,038.3286986760307,+52.3089542822443,-16.291,-8.054,6.65,
HD 129153,220.1766376129363,+13.5343237551255,54.266,-15.699,5.925,
HD 119458,205.6809614595615,+34.9890231697044,12.227,10.773,5.96,
* chi Boo,228.6214956894875,+29.1642952748318,-69.688,28.940,5.272,
HD 145694,242.3582236869681,+55.8289742161049,-32.937,22.786,6.400,8.440
HD 116784,201.4168742432753,+15.5640614618257,-63.833,-2.154,6.82,
* K Car,157.5838629179,-71.9927945036,27.59,-30.73,4.710,
HD  45506,097.1168911804061,+16.2383858696749,-89.339,-45.213,6.233,
HD  38735,086.8620414870916,-10.5329469078460,-7.890,-19.149,6.06,
HD 195564,308.0987287351157,-09.8533851674285,309.542,110.075,5.65,
HD  25069,059.7183079160728,-05.4699472656102,-46.740,-174.346,5.833,
HD   9166,023.1018429841350,+68.4089186232150,108.970,-59.854,6.803,
HD  83865,144.8607821644106,-54.7533668831506,-15.964,2.914,6.82,6.18
HD 197392,310.4854242278868,+41.7168730801264,4.240,1.544,5.664,
V* T UMa,189.0977755146916,+59.4869368775944,-15.468,-6.676,5.50,7.67
HD   9986,024.4203303031450,+12.0783809490688,120.150,6.057,6.76,
V* AD Tri,034.4888774017078,+29.0072524941461,20.847,-7.831,6.67,
* omi02 CMa,105.7561338125,-23.8332923078,-2.21,3.61,3.02,2.14
HD 203925,321.1416879571939,+26.1745590035921,49.438,5.512,5.658,
V* VY UMa,161.2667938107972,+67.4113843068560,5.579,0.471,5.95,12.91
HD   2301,006.8018619600429,+49.9857299886425,8.722,-5.808,6.96,
HD  87816,151.5300436989588,-52.1879380559632,-55.697,16.383,6.492,
HD 178937,288.0407557066279,-37.5831096381398,5.337,-4.047,6.564,
HD 174474,283.2597783372157,-48.3609171352687,-17.152,-77.428,6.168,
HD  66011,120.4613742879527,+08.9139919879441,0.903,24.598,6.209,
HD 107209,184.9737679393890,-62.8541829137111,-5.48,0.42,6.832,6.78
HD  10437,025.8394956667002,+59.6327587104657,89.351,-50.808,6.58,
HD  32622,076.07499378,-06.03129915,-0.28,6.80,6.93,
HD  30610,071.2412521223816,-63.2297152075104,-10.706,-2.783,6.466,
V* RY UMa,185.1138664074003,+61.3096407338712,-20.880,-7.380,6.90,10.90
HD 218619,347.4359609116065,-28.0885702585733,18.614,2.530,5.868,
*  38 Ori,083.5698969021389,+03.7669094899586,-26.491,-18.628,5.326,
HD  67624,120.9717886503052,-68.9368502472821,-16.068,9.343,6.85,
HD  58324,110.9688363262230,-29.2897214750403,-9.849,0.611,6.77,
HD 175453,284.0599132538774,-18.7094582112574,-2.18,-17.81,6.64,
* chi Aur,083.1819713242,+32.1920209194,-1.52,-4.33,4.79,4.68
* psi10 Aur,104.4046128688,+45.0940945581,-21.52,-3.12,4.893,
*  34 Sex,160.6561931541187,+03.5831058891238,-94.321,37.466,6.58,
* eps Boo,221.24673940,+27.07422497,-50.95,21.07,2.39,
HD 110653,190.9944543860318,-36.3491518743925,6.819,-6.465,6.369,
HD 119086,205.3785711179,-23.4498090122,-10.36,1.27,6.605,
HD 125745,215.5821685759918,-34.7867924731490,-26.551,1.203,5.568,
HD 172991,281.2381318234827,-39.6861880156081,10.301,-6.329,5.439,
HD  21826,052.0719668679861,-57.8822334987206,-4.780,-15.332,6.68,
V* IQ Aqr,312.3218210350734,-00.5633394273824,-25.811,-24.748,6.36,
HD 169689,276.4116613378027,+08.0320086276755,-3.574,-6.895,5.665,
HD  35984,082.4193899118978,+29.1864636956284,28.474,-46.834,6.190,
*  61 Gem,111.7347021734945,+20.2575548112651,2.041,-8.184,5.935,
HD 114474,197.8467333610630,-43.3685521375034,-114.171,-21.289,5.231,
HD  67751,122.1815829526515,-20.3631704658087,-6.420,2.332,6.365,
HD  90508A,157.0161745430708,+48.7849029846803,82.477,-881.131,6.50,
HD  73017,129.5924369516900,+53.4015422311814,-75.733,-14.407,5.645,
HD  34544,080.3222539624970,+54.2525476252805,-6.251,26.271,6.630,8.910
*  64 Leo,166.9154446742376,+23.3237641976056,-14.889,9.583,6.468,
HD  76161,133.1608473744972,-48.3590825452081,-14.399,-1.120,5.889,
HD  28398,065.9827669754607,-66.7371138925498,28.930,61.721,6.96,
*  41 Cam,100.1306598855250,+61.9225259303345,-28.112,17.132,6.58,
HD 216172A,342.2536143149496,+68.5702232212375,117.052,66.155,6.86,
HD 122443,210.4033769659611,+17.6683884006860,-46.141,-84.858,6.384,
HD 177389,287.4702840209072,-68.4244503816346,155.088,-42.976,5.305,
*  46 Cam,109.9701173566010,+59.2528732676077,-11.833,-27.460,6.73,
CCDM J23101+5727AB,347.53961551,+57.44834083,3.26,-27.47,6.99,
HD 217807,345.9271654017687,-40.8170405278396,45.120,-0.604,6.85,
HD 133469,226.3912714843159,-30.5508624674418,9.922,84.684,6.48,
HD 108355,186.8534408380982,-63.7889849411129,-15.175,-10.847,6.023,
HD 103736,179.2218168543843,+61.5492119199986,-29.719,-44.131,6.200,7.870
* 140 Pup,115.0967109179898,-15.2639190167822,-2.329,-27.814,4.951,
V* V372 Peg,326.7698347020640,+17.1940391090764,104.624,-13.574,6.174,
HD 189195,300.0663871191870,-37.7017226047330,18.610,-1.580,5.948,
*  23 CVn,200.0789630666383,+40.1505474800833,-58.240,-3.925,5.60,
* ksi Boo A,222.8474486887563,+19.1004560902550,128.211,-42.057,4.675,
HD  58580,111.5141211634154,-04.5373889473912,-9.000,-12.179,6.766,
HD 126057,215.9822502412766,-29.6762983868743,34.202,-9.173,6.91,
HD  99196,171.2455198575228,+11.4302927178162,-101.827,-9.826,5.788,
HD   8437,020.4534620186920,-66.3841416234793,-36.881,-3.099,6.93,
V* OR Pup,118.4945783008767,-26.3488117462989,-5.150,3.281,6.85,9.48
* tau06 Ser,235.2462515449977,+16.0245910449229,21.913,-17.036,5.991,
HD 194305,306.1595873566528,+08.5974821439310,6.068,-7.524,6.790,6.690
* lam Ori,083.78449002,+09.93415587,-0.34,-2.94,3.66,2.45
HD 142763,238.9160554499886,+18.6207437341933,-6.789,-11.749,6.257,5.75
HD 129784,221.1875661732005,-09.7040597652546,-90.20,-48.00,6.86,
HD  66435,120.5255597253303,-37.0500450531739,2.864,12.522,6.335,
HD 174630,283.1179781123005,-26.6507721347168,-3.244,-61.438,6.29,
V* HR Lib,239.1390564007901,-14.8294367712214,70.777,-34.589,6.117,
*  12 Lyn B,101.5598481756183,+59.4418208183247,-19.545,3.902,5.99,
HD  35761,082.2546111597372,+42.2705184843819,35.300,-30.092,6.57,
HD   9151,022.4284040295732,-25.6177553169940,38.704,14.547,6.37,
HD  90874,156.8553490967583,-65.7046607237029,-81.767,20.859,5.991,
* p Eri A,024.9492214050196,-56.1933194451575,262.378,15.333,5.685,
HD   3531,009.6730834827336,+46.9569230153221,-37.240,-18.025,6.75,
HD 122577,210.7669563116394,-17.3670146480786,-184.417,-10.370,6.31,
HD 111720,192.8455485243778,-10.3382076254480,-18.831,-6.583,6.471,
HD  28970,068.3420288290115,-10.7853365756218,0.482,29.238,6.052,
HD  84455,146.4664196021452,+18.6835844643054,22.156,-13.256,6.78,
* rho Hya,132.1082107329,+05.8378134256,-17.33,-29.41,4.337,
HD 193002,305.1346404308903,-55.0508854821217,9.269,-33.026,6.259,
HD 150331,250.4393936783829,-33.1457597176641,-58.532,-56.797,5.836,
HD 105475,182.1552323843660,+26.4935462447354,60.829,-39.573,6.97,
HD  33833,078.2005358605506,-06.0571875446834,21.866,-31.307,5.892,
HD 204960,323.3479735654987,-44.8487077742269,-17.628,-2.164,5.563,
HD 189235,299.3709563801412,+38.4582564632321,3.754,4.458,6.68,
HD 186219,297.3554180992609,-72.5033790317681,8.085,15.632,5.392,
* n01 Ori B,082.8107949835804,+03.2926001527994,0.983,0.186,6.76,
HD  62351A,115.745608,-17.061592,-4.2,34.8,6.89,
*  15 Del,312.4073639500695,+12.5451268186153,52.94,96.82,5.991,
* zet Nor,243.3445749900718,-55.5409474306580,-98.850,-42.066,5.772,
[SC93] 139,094.78,+12.70,,,6.28,
HD 173416,280.9004561899300,+36.5566059638669,20.784,58.295,6.037,
HD  97670,168.3782651997687,-59.6193155734291,-7.455,-1.135,5.74,4.93
HD 155344,257.4869709290056,+26.4553678469482,-2.321,8.914,6.95,
HD 100041,172.7286758813218,+28.4515713832206,-84.179,1.367,6.773,
HD  27078,063.7960721882226,-37.1968931506731,-17.816,1.875,6.76,
HD  39789,088.4899688341761,-19.6388030880086,-5.004,-13.529,6.669,
V* AF Lep,081.7698465381619,-11.9009628298519,17.059,-49.315,6.295,
* del For,055.5620932678791,-31.9383600188304,4.942,13.326,4.973,4.24
HD   7733,019.5578424402957,+57.8031690529998,-5.890,-1.404,6.52,
HD 200326,315.6789525507257,+03.3502491850112,41.456,-19.273,6.62,
HD 103612,179.0148222200669,+40.6476139331829,-1.432,-30.020,6.898,
HD  90362,156.4344618221526,-07.0598232257219,-135.58,129.30,5.56,8.94
HD 117651,203.3994586774181,-65.6326863898157,-36.125,-22.793,6.354,
HD  80546,140.3632568495569,+32.9021551644538,10.762,-22.320,6.18,
V* BL Ori,096.3673891250921,+14.7219962958852,-1.717,-5.374,6.00,11.64
HD  87030,150.1438521528755,-56.9461070391144,-52.582,22.790,6.529,
HD 204918,322.6076718203069,+44.8749892664488,8.368,5.273,6.76,
HD   6675,017.3044674091639,+69.6865244903686,0.918,-0.110,6.938,6.57
HD  57212,110.0282787897375,-03.9145259883034,2.669,2.235,6.71,
* zet Sct,275.9148836339345,-08.9344525822674,54.759,47.077,4.664,
* tet Cep,307.3952716004427,+62.9940615520928,52.416,-2.544,4.22,4.58
HD   4550,011.9375855627968,+26.2916558418872,100.105,11.963,6.94,
HD  22333,053.7183574985679,-25.5828273557966,51.275,32.905,6.48,
HD  39315A,088.3692999859392,+37.3390507662183,-45.908,83.682,6.857,
HD 185915,295.1649152863994,+23.7179495507360,-2.259,-9.104,6.645,6.26
HD 150451,250.2980949883036,-01.0003152414318,19.605,-11.055,6.259,
*  20 Psc,356.9855919988632,-02.7615987581720,94.998,5.461,5.490,
V* EE Tuc,344.4976410646063,-59.0894988391639,91.315,-46.020,6.69,
*   4 Aqr A,312.8572917385854,-05.6266443320553,95.946,7.401,6.40,
* ksi02 Cen,196.7276641554,-49.9062450900,-26.15,-12.03,4.27,3.29
HD 170598,277.4880442663523,+10.4830107689866,-2.672,45.245,6.91,
HD 139254,234.4501761257423,-23.1417026092527,-31.411,-81.237,5.790,
HD 104125,179.8488970181944,-57.1679860623519,-39.153,-9.473,6.76,
*  79 Peg,357.4141445231510,+28.8423885628898,63.578,25.579,5.960,6.270
* del Cep B,337.2885250982074,+58.4040955445160,14.102,3.929,6.30,5.95
HD 103974,179.5845196146679,-40.9472632146692,-61.856,19.375,6.879,
HD 142080,238.7102612121904,-50.3383139046587,-40.224,-40.644,6.78,
HD  64067,117.2780284165333,-56.4103633171236,-7.997,12.779,5.57,
HD 152446,253.1714242922805,+18.0621325754171,28.796,-22.683,6.806,
HD 125632,214.7329757077007,+54.8637775916518,-18.878,-4.404,6.480,6.720
HD 112028,192.3071852721282,+83.4128799072372,-30.395,24.884,5.350,5.390
HD 140841,236.8417770119220,-41.0271043981767,-4.258,-16.925,6.86,
HD 164562,270.7262383865306,-27.8266654362970,0.375,-2.286,6.69,
HD  92550,160.0621846273963,-47.1602459455674,-24.923,6.014,6.98,
*  52 Cyg,311.4156376663,+30.7197154383,-8.98,24.11,4.23,6.16
HD 100943,174.1182148102284,-61.6651430101068,-6.622,0.942,6.655,6.66
HD  43157,093.6529276033573,-04.5684565878417,-6.11,3.22,5.819,
*  17 Per,042.8784969853851,+35.0597444306882,9.63,-63.68,4.53,8.02
* tet CrB A,233.232429500,+31.359143103,-19.6,-6.2,4.30,
HD  42089,092.2802028127681,+07.5135254784043,-1.701,-2.766,6.64,
HD 162521,269.1012236329801,-65.7217378735648,82.630,-318.060,6.36,
HD  18438,046.5326632357971,+79.4185336969859,-35.290,10.761,5.49,
* bet01 Sgr,290.6595784089946,-44.4589854042831,3.221,-11.929,4.01,3.52
HD 112383,194.3591151059514,-67.9607031626712,-38.259,-15.584,6.771,
HD  61672,114.8624206189763,-26.8631118456195,-6.293,1.779,6.485,
*   3 Equ,316.1443792466437,+05.5028611249368,13.690,1.479,5.585,
*  30 LMi,156.4783972854,+33.7961197100,-73.66,-59.21,4.718,
* gam CrA A,286.6050611831375,-37.0632756524867,45.737,-285.189,4.53,
* sig Boo,218.6700715868679,+29.7451288016606,188.762,131.222,4.47,4.76
* d Sgr,289.4086627505775,-18.9529062867905,-10.341,-10.892,4.878,
* omi02 Cnc,134.3966636171229,+15.5812860567872,60.89,19.57,5.677,
HD  67873,122.5746608804001,+09.1681417239037,23.960,-5.456,6.80,
HD 174391,282.4269722258233,+15.9345441701453,0.884,-5.558,6.676,
HD  87556,151.3000625015441,-28.1970403379526,-25.078,5.749,6.96,
HD  37530,084.5287671320900,-27.2107494558809,-4.018,-0.826,6.53,
HD 205741,323.6075170750562,+66.7264483635531,-24.835,-30.383,6.94,
* g Aqr,340.8968044433,-18.8303765794,-31.73,-28.54,4.69,
HD 117404,202.5003381877534,+07.1788526157636,3.35,5.55,6.167,
*  14 LMi,146.6770195546105,+45.1143934787716,54.610,-131.753,6.812,
*  11 Tri,036.8657134623502,+31.8012801603399,-24.427,-28.042,5.552,
* k Vir,194.9147280421080,-03.8119363588294,-49.009,10.501,5.791,
HD 196134,308.4523085008156,+41.7726577837718,-2.099,-66.696,6.504,
HD  85043A,147.1785033800100,-26.4144453191519,-157.504,36.338,6.65,
NGC  5662,218.904,-56.618,-6.427,-7.243,5.5,
*  35 Ari,040.8629651367941,+27.7071376049105,11.030,-8.806,4.67,3.91
* mu. Lib,222.32938041,-14.14902127,-65.95,-14.54,5.31,5.33
HD  61603,115.2438265504417,+23.0185315413301,-6.993,-13.010,5.906,
HD  30034,071.1076189780934,+11.1461382478033,98.815,-14.881,5.379,
HD  17217,041.9806092407997,+55.6135502048531,25.782,-27.605,6.92,
HD  13666,032.9762713403209,-47.1703666706364,-16.908,-41.164,6.81,
HD 217842,345.9984980813661,-41.4788948540439,11.872,56.502,5.796,
HD 146416,244.2448586857957,-21.3041314650607,-15.233,-25.756,6.601,
V* U Del,311.3676442878684,+18.0900338141019,11.386,-7.397,6.38,9.30
HD 110409,190.3699562058836,+49.2905440979999,-58.914,32.779,6.897,
HD  98153,169.4346778549724,+27.3622329897859,-5.267,-6.243,6.963,
* y Car,168.1500536124196,-60.3176249763209,-6.181,1.934,4.62,5.20
* sig Ori D,084.6901064569756,-02.5996912320368,0.79,-0.90,6.69,5.7
HD  46971,098.7260422708185,-30.0920235540259,-5.967,5.309,6.92,
HD  99015,170.4870480289121,-77.6083675182805,-79.629,-8.262,6.423,
HD  76653,133.7990919122783,-54.9657674006136,24.318,-91.713,5.698,
HD  69650,123.9701839023398,-46.3122822496317,-25.627,46.392,6.64,
HD   1048,003.7329091728834,+22.2842244233546,44.515,-10.424,6.234,
HD 208971,329.3508211821075,+66.1390820499688,4.937,2.902,6.56,
HD  25213,061.8574027519149,+74.6365430671094,26.813,-45.964,6.80,
HD 208942,329.8822171119284,+10.5764830681137,10.633,5.639,6.98,
HD 216503,343.3648044409686,-05.9880477228633,-68.793,-48.576,6.91,
HD 187071,296.4649194528932,+46.4855388912698,-2.270,-1.162,6.94,
HD 159633,264.3621616517273,-38.0663641294017,1.177,-3.497,6.27,
HD 162396,268.2190953914654,-41.9965243404237,140.838,-190.821,6.20,
HD  22905,055.0476515555655,-15.2265317674565,-5.354,-15.481,6.343,
HD 220465,351.0327205206161,-18.6879995916757,159.236,53.843,6.186,
M   5,229.63842,+02.08103,4.06,-9.89,5.95,
HD 202554,319.1644634538082,-01.6077670694767,18.372,-15.456,6.479,
V* IT Lup,220.0802967321164,-45.7938408090886,-21.46,-21.90,6.615,
HD  88524,152.9538084797278,-34.3340319002152,81.961,-44.835,6.65,
HD  36038,081.8109089630368,-34.6143624523823,-25.166,-4.416,6.96,
HD  33093,076.8540128424917,-12.4912702741529,135.874,-107.345,5.956,
V* V947 Cen,196.2777461644220,-47.1169086417904,-50.121,-31.652,6.426,
[SC96] Mis  787,268.92,-30.57,,,6.95,
HD 177817,286.71715615,-16.22927478,-0.73,-16.00,6.03,
* e Cen,193.2787759437,-48.9433121661,-79.19,-24.26,4.33,7.28
HD  36041,082.6878490106435,+39.8259125206272,21.73,-36.69,6.377,
HD 198694,313.1294015687955,-13.2029485197763,33.527,2.140,6.85,
V* S CMi,113.1794584297157,+08.3181115382623,-11.471,-13.078,6.60,
HD  47930,101.1027775631009,+56.9330230153378,7.014,-18.949,6.90,
HD  11037,027.1084139727546,+03.6854504511779,-7.881,19.049,5.904,
HD  57048,110.0398816721145,+16.1403343454793,-6.284,-10.256,6.87,
*  46 Ser,242.0238004475372,+10.0804362026694,-28.409,-28.542,6.729,
HD 128750,219.5582810205116,+18.2983790462132,-28.824,-65.222,5.910,
* pi.02 Dor,096.3692969760777,-69.6902987994538,-12.392,200.499,5.38,
* psi07 Aur,102.6914310112854,+41.7812343375603,-25.660,-138.163,4.975,
HD  96338,166.4405845892785,-47.4422973546978,-31.689,-3.115,6.81,
* phi Cyg,294.8441916911922,+30.1533180210798,1.467,36.661,4.673,
HD   9377,022.9302104,-30.2830789,-1.607,-63.311,5.788,
